Chlorite group,Quartz,Pyroxene,Plagioclase,K-Feldspar,Calcite group - Siderite,Calcite group,Dolomite group,Spinel group,Hematite group,Stilpnomelane,Mica group,Pyrite,Rutile group,Goethite,Smectite group,Sepiolite,Kaolinite-serpentine group,Birnessite,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI
3.125147317737673,41.90805845671122,,0,,12.352205550657459,,0,26.61859917424924,12.918897067195983,,0,,0.4144325718630976,2.662659861585335,0,0,0,,25,35.2,39.7,1.399,0.061,0.561,0.435,0.123,0.057,1.8,0.35,0.027,0.004,0.001,-0.001,0.002,0.002,0.004,0.003,0.01,0.008,0.001,0.001,0.001,0.007,0.49,4.33,-0.08,4.74
4.7388972878871165,37.63546486683914,,0,,14.304989445435442,,0.9869826808051239,39.67078768560242,1.519339273874934,,0,,0.6851332203586008,0,0,0.4584055391972172,0,,36.7,35.61,37.45,1.728,0.077,0.573,0.586,0.092,0.067,2.36,0.515,0.035,0.004,0.001,-0.001,0.002,0.002,0.007,0.003,0.011,0.008,0.002,-0.001,0.001,0.009,0.11,5.28,-0.34,5.05
4.396625847237467,40.25839082272277,,0,,13.365651584980634,,1.552856968,38.76169798692413,1.114273598,,0,,0.3757021224916145,0,0,0.17480106911855262,0,,37.7,35.04,39.61,1.142,0.05,0.602,0.789,0.101,0.034,1.98,0.256,0.035,0.004,0.001,0.001,0.002,0.002,0.004,0.003,0.009,0.006,-0.001,-0.001,0.001,0.008,0.08,5.11,-0.45,4.74
6.447607457136888,35.386724458681286,,0,,20.94221312573319,,1.7713362326403486,33.73726200233968,0.8744844854729893,,0,,0.8403722379956177,0,0,0,0,,33.3,35.67,35.33,1.454,0.065,0.619,0.713,0.104,0.075,2.41,0.309,0.068,0.004,0.001,-0.001,0.002,0.001,0.006,0.002,0.01,0.007,0.001,-0.001,0.001,0.008,0.33,7.31,-0.35,7.29
3.0177465221263655,34.71469607223279,,2.3839139340806157,,29.18648583929939,,1.1629778825517816,27.815740252315337,0.9619508144403965,,0,,0.7564886829533223,0,0,0,0,,26.9,34.44,34.82,1.278,0.052,0.6,0.667,0.099,0.055,2.25,0.353,0.195,0.003,0.001,-0.001,0.002,-0.001,0.003,-0.001,0.009,0.006,0.001,-0.001,-0.001,0.008,2.22,8.01,-0.23,10.00
2.6873170812443576,37.76141664839236,,0,,20.40071529,,2.137790759712785,34.69101086214553,1.8552616074753419,,0,,0.46648775516792007,0,0,0,0,,32.5,35.36,36.67,1.103,0.049,0.589,0.789,0.08,0.024,2.02,0.291,0.214,0.004,0.001,0.001,0.004,0.003,0.004,0.001,0.008,0.005,0.001,0.001,0.002,0.011,0.27,7.21,-0.31,7.17
6.604878306768875,64.42303770261948,,0,,19.025748106557216,,0,0,5.182272781967061,,0,,1.0249395252608327,3.739123577,0,0,0,,1.2,15.78,60.81,2.152,0.088,0.836,0.675,0.193,0.088,2.72,0.548,0.022,0.015,-0.001,0.002,0.009,0.004,0.007,0.004,0.003,0.005,0.001,0.002,0.001,0.013,1.03,7.14,0.33,8.50
9.052928261111838,60.54211819005872,,0,,24.126307921476254,,2.0852202624450538,0,1.6332165684571316,,0,,1.307668139874585,0,0,1.2525406565764257,0,,1.2,13.56,59.51,2.802,0.112,0.922,0.962,0.147,0.107,3.85,0.813,0.034,0.009,-0.001,-0.001,0.009,0.004,0.016,0.001,0.004,0.01,0.001,0.001,0.001,0.013,0.47,9.76,0.24,10.47
7.028610496449253,65.98740147858369,,0,,21.405770126378812,,3.167076863,0,1.097500360529666,,0,,0.836763315,0,0,0.47687735978781537,0,,1,12.06,64.15,1.854,0.077,0.96,1.265,0.166,0.054,3.17,0.422,0.041,0.008,-0.001,-0.001,0.01,0.006,0.012,0.002,0.002,0.005,0.001,0.002,0.001,0.016,0.38,9.36,0.21,9.95
7.579603577048181,55.84977382663321,,0,,32.41726963934727,,1.965712845913323,0,1.3032660114256043,,0,,0.8843740996324259,0,0,0,0,,1.2,16.6,53.54,2.252,0.093,0.929,1.109,0.164,0.118,3.7,0.472,0.073,0.01,-0.001,0.001,0.009,0.002,0.009,-0.001,0.002,0.006,0.001,0.001,-0.001,0.012,0.61,12.18,0.22,13.01
